task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,within_subject_5fold,30,0.5375,0.5375,0.5378177743539463,0.5375,0.5365263835487744,0.5375,0.2168668946612184,0.5375,0.2168668946612184,0.5484920634920635,0.2530288802894227,0.5375,0.2168668946612184,0.517914862914863,0.22384604488492363
2class,svm,within_subject_5fold,30,0.5416666666666666,0.5416666666666666,0.5418526785714286,0.5416666666666666,0.5411568409343714,0.5416666666666666,0.17480147469502527,0.5416666666666666,0.17480147469502527,0.545,0.20998357744517598,0.5416666666666666,0.17480147469502527,0.5220586820586821,0.18075932824670826
2class,logistic_regression,within_subject_5fold,30,0.55,0.55,0.550055617352614,0.55,0.5498749652681301,0.55,0.1925703334715224,0.55,0.1925703334715224,0.5630158730158731,0.22764422831207354,0.55,0.1925703334715224,0.5320250120250122,0.20032894909208243
2class,knn,within_subject_5fold,30,0.5291666666666667,0.5291666666666667,0.5291849072336877,0.5291666666666667,0.5290930874615826,0.5291666666666667,0.1787786496077078,0.5291666666666667,0.1787786496077078,0.5384126984126983,0.21722736914757662,0.5291666666666667,0.1787786496077078,0.5103703703703704,0.18526957148548928
2class,random_forest,within_subject_5fold,30,0.5375,0.5375000000000001,0.5375652173913044,0.5375000000000001,0.5372991749891446,0.5375,0.17721808598447283,0.5375,0.17721808598447283,0.5557142857142857,0.2183750890469216,0.5375,0.17721808598447283,0.5164598364598364,0.18187628649015575
4class,lda,within_subject_5fold,30,0.3375,0.3375,0.33873700161379916,0.3375,0.33656250186917536,0.3375,0.13844373104863458,0.3375,0.13844373104863458,0.3581752044252044,0.16496671807614746,0.3375,0.13844373104863458,0.32279165279165273,0.13980312402166103
4class,svm,within_subject_5fold,30,0.31666666666666665,0.31666666666666665,0.31597212013707177,0.31666666666666665,0.3159988756811847,0.31666666666666665,0.11516895800904377,0.31666666666666665,0.11516895800904377,0.31839285714285714,0.1278371891852113,0.31666666666666665,0.11516895800904377,0.30103294853294843,0.11005444479480878
4class,logistic_regression,within_subject_5fold,30,0.325,0.325,0.32491639656325566,0.325,0.324547085131547,0.325,0.11902380714238084,0.325,0.11902380714238084,0.3506349206349206,0.14512117035354305,0.325,0.11902380714238084,0.3154815092315093,0.11751880496461349
4class,knn,within_subject_5fold,30,0.2875,0.2875,0.28691283280076596,0.2875,0.2864791610511843,0.2875,0.09762812094883316,0.2875,0.09762812094883316,0.2867294973544973,0.10831401024485347,0.2875,0.09762812094883316,0.2670738058238058,0.08719635348105842
4class,random_forest,within_subject_5fold,30,0.3375,0.3375,0.33754485923972033,0.3375,0.3370324346350071,0.3375,0.13654974673478285,0.3375,0.13654974673478285,0.3503373015873016,0.15790502423094285,0.3375,0.13654974673478285,0.3237415362415363,0.13607923702225988
6class,lda,within_subject_5fold,30,0.2652777777777778,0.2652777777777778,0.265301224398394,0.2652777777777778,0.2648746881181561,0.2652777777777778,0.11256856621084516,0.2652777777777778,0.11256856621084516,0.2829314204314205,0.13175664054299496,0.2652777777777778,0.11256856621084516,0.2567489083175358,0.11210970358610568
6class,svm,within_subject_5fold,30,0.2611111111111111,0.2611111111111111,0.2690059200118497,0.2611111111111111,0.26395250907551565,0.2611111111111112,0.1091493483577139,0.2611111111111112,0.1091493483577139,0.27304012345679013,0.1266608383821089,0.2611111111111112,0.1091493483577139,0.2535536377203044,0.10959228483988967
6class,logistic_regression,within_subject_5fold,30,0.2513888888888889,0.2513888888888889,0.2527234685532922,0.2513888888888889,0.25178826478969796,0.25138888888888894,0.1151103201388526,0.25138888888888894,0.1151103201388526,0.26585758377425045,0.13710259892473747,0.25138888888888894,0.1151103201388526,0.2444587202920536,0.1131084499852631
6class,knn,within_subject_5fold,30,0.2263888888888889,0.2263888888888889,0.22587233513152338,0.2263888888888889,0.22563631464699763,0.2263888888888889,0.08449422874586182,0.2263888888888889,0.08449422874586182,0.2121075837742504,0.09953102505081214,0.2263888888888889,0.08449422874586182,0.20809341892675226,0.08557025014811978
6class,random_forest,within_subject_5fold,30,0.2652777777777778,0.2652777777777778,0.2648753678563447,0.2652777777777778,0.2642073745444767,0.2652777777777778,0.09946810705441042,0.2652777777777778,0.09946810705441042,0.2864225589225589,0.12250601639922555,0.2652777777777778,0.09946810705441042,0.2544214735881402,0.10185720062452792
