task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,experiment,description,dropped_trial_count,time_window_seconds,drop_flagged_trials,drop_flagged_trials_rule,spatial_reference
2class,lda,within_subject_5fold,30,0.625,0.625,0.6262626262626263,0.625,0.6240601503759399,0.625,0.17380544678845175,0.625,0.17380544678845175,0.6557936507936507,0.2006307922269649,0.625,0.17380544678845175,0.6095646945646946,0.1790306703083575,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
2class,svm,within_subject_5fold,30,0.5875,0.5874999999999999,0.5876521739130435,0.5874999999999999,0.587320885801129,0.5875,0.15189771777965155,0.5875,0.15189771777965155,0.6169841269841269,0.17856162230569994,0.5875,0.15189771777965155,0.5703896103896103,0.15465755369545583,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
2class,logistic_regression,within_subject_5fold,30,0.6291666666666667,0.6291666666666667,0.6298973391996647,0.6291666666666667,0.6286444479215563,0.6291666666666667,0.16292678996680962,0.6291666666666667,0.16292678996680962,0.654047619047619,0.193112852229325,0.6291666666666667,0.16292678996680962,0.6107720057720059,0.17304196918515313,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
2class,knn,within_subject_5fold,30,0.5416666666666666,0.5416666666666666,0.5422416220782877,0.5416666666666666,0.5401017350707268,0.5416666666666666,0.15252504348102605,0.5416666666666666,0.15252504348102605,0.5562698412698412,0.18075959167458666,0.5416666666666666,0.15252504348102605,0.5246921596921597,0.15603763474387064,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
2class,random_forest,within_subject_5fold,30,0.6041666666666666,0.6041666666666666,0.6041739009653448,0.6041666666666666,0.6041597944408756,0.6041666666666666,0.16483367037377067,0.6041666666666666,0.16483367037377067,0.6212698412698412,0.18577830940912768,0.6041666666666666,0.16483367037377067,0.5896921596921596,0.17137357422398186,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
4class,lda,within_subject_5fold,30,0.3375,0.33749999999999997,0.3370707874950104,0.33749999999999997,0.33700776911815983,0.3375,0.09492321458245431,0.3375,0.09492321458245431,0.3324041005291004,0.11835768574044533,0.3375,0.09492321458245431,0.3189328726828726,0.09911689632596633,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
4class,svm,within_subject_5fold,30,0.3104166666666667,0.3104166666666667,0.3107657835291558,0.3104166666666667,0.31034612620903174,0.3104166666666667,0.0961272666254944,0.3104166666666667,0.0961272666254944,0.3233465608465608,0.12226806256306219,0.3104166666666667,0.0961272666254944,0.29830044955044954,0.10087178140514648,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
4class,logistic_regression,within_subject_5fold,30,0.3229166666666667,0.32291666666666663,0.32135700797619837,0.32291666666666663,0.3218549902215173,0.3229166666666667,0.105922698490718,0.3229166666666667,0.105922698490718,0.3310251322751323,0.12562190169476475,0.3229166666666667,0.105922698490718,0.3085150035150035,0.10545391226890742,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
4class,knn,within_subject_5fold,30,0.27291666666666664,0.27291666666666664,0.27073065631211535,0.27291666666666664,0.2706511695923217,0.27291666666666664,0.13354475425447787,0.27291666666666664,0.13354475425447787,0.2654133597883598,0.16381187073770484,0.27291666666666664,0.13354475425447787,0.2522724035224035,0.13122745148613899,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
4class,random_forest,within_subject_5fold,30,0.3458333333333333,0.3458333333333333,0.3457014320708498,0.3458333333333333,0.3457306111967129,0.3458333333333333,0.12367351733046525,0.3458333333333333,0.12367351733046525,0.3613392857142857,0.14020490497606058,0.3458333333333333,0.12367351733046525,0.3326467051467051,0.12213741956743078,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
6class,lda,within_subject_5fold,30,0.2638888888888889,0.2638888888888889,0.26833944678128274,0.2638888888888889,0.2651406198087019,0.26388888888888884,0.08356449420272956,0.26388888888888884,0.08356449420272956,0.2832649911816578,0.0931829918698533,0.26388888888888884,0.08356449420272956,0.2565569923903257,0.08059979034006087,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
6class,svm,within_subject_5fold,30,0.24166666666666667,0.24166666666666667,0.2445137970719996,0.24166666666666667,0.24265522371641787,0.2416666666666667,0.08962369891612045,0.2416666666666667,0.08962369891612045,0.24733505691839022,0.10206769211119542,0.2416666666666667,0.08962369891612045,0.22893270309936972,0.08705458680346907,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
6class,logistic_regression,within_subject_5fold,30,0.2611111111111111,0.2611111111111111,0.26318644260501106,0.2611111111111111,0.26185676902070465,0.2611111111111111,0.09124482058698247,0.2611111111111111,0.09124482058698247,0.2711163219496553,0.10921634195545836,0.2611111111111111,0.09124482058698247,0.24935956019289354,0.08743086078582589,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
6class,knn,within_subject_5fold,30,0.2222222222222222,0.22222222222222224,0.22572154290168514,0.22222222222222224,0.221616492356288,0.22222222222222227,0.10449023818780016,0.22222222222222227,0.10449023818780016,0.22001984126984123,0.12243353082859323,0.22222222222222227,0.10449023818780016,0.208115017698351,0.10494386219228201,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
6class,random_forest,within_subject_5fold,30,0.2388888888888889,0.23888888888888893,0.24121522038567492,0.23888888888888893,0.2396295049128344,0.2388888888888889,0.08735658440842438,0.2388888888888889,0.08735658440842438,0.24902116402116406,0.11254705553294,0.2388888888888889,0.08735658440842438,0.23047258297258294,0.09090662157803964,tw_1p5_5p5_keep,1.5-5.5 s，不剔除异常 trial,0,"(1.5, 5.5)",False,either,None
