task,classifier,candidate,classifier_overrides,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,fold_count
2class,lda,lda_default,{},0.625,0.625,0.6262626262626263,0.625,0.6240601503759399,30
2class,lda,lda_svd,"{'solver': 'svd', 'shrinkage': None}",0.5791666666666667,0.5791666666666666,0.5796144982191493,0.5791666666666666,0.5785740364053618,30
2class,lda,lda_eigen_auto,"{'solver': 'eigen', 'shrinkage': 'auto'}",0.5583333333333333,0.5583333333333333,0.5583495415393165,0.5583333333333333,0.5583026599069381,30
2class,lda,lda_lsqr_shrink_0p3,"{'solver': 'lsqr', 'shrinkage': 0.3}",0.6125,0.6125,0.6138359918487808,0.6125,0.6113597186188644,30
2class,logistic_regression,logreg_c0p03_bal,"{'C': 0.03, 'class_weight': 'balanced'}",0.6416666666666667,0.6416666666666666,0.6420217209690894,0.6416666666666666,0.6414425682718365,30
2class,logistic_regression,logreg_c0p1_bal,"{'C': 0.1, 'class_weight': 'balanced'}",0.6291666666666667,0.6291666666666667,0.6298973391996647,0.6291666666666667,0.6286444479215563,30
2class,logistic_regression,logreg_c0p3_bal,"{'C': 0.3, 'class_weight': 'balanced'}",0.6083333333333333,0.6083333333333334,0.6094276094276094,0.6083333333333334,0.6073517126148705,30
2class,logistic_regression,logreg_c1_bal,"{'C': 1.0, 'class_weight': 'balanced'}",0.6333333333333333,0.6333333333333333,0.6351731906505209,0.6333333333333333,0.6320813880565814,30
2class,logistic_regression,logreg_c0p3_none,"{'C': 0.3, 'class_weight': None}",0.6083333333333333,0.6083333333333334,0.6094276094276094,0.6083333333333334,0.6073517126148705,30
2class,logistic_regression,logreg_c1_none,"{'C': 1.0, 'class_weight': None}",0.6333333333333333,0.6333333333333333,0.6351731906505209,0.6333333333333333,0.6320813880565814,30
2class,svm,svm_linear_c0p3,"{'kernel': 'linear', 'C': 0.3, 'class_weight': None}",0.6166666666666667,0.6166666666666667,0.6182765418192058,0.6166666666666667,0.615357814786426,30
2class,svm,svm_linear_c1,"{'kernel': 'linear', 'C': 1.0, 'class_weight': None}",0.6166666666666667,0.6166666666666667,0.6182765418192058,0.6166666666666667,0.615357814786426,30
2class,svm,svm_linear_c3,"{'kernel': 'linear', 'C': 3.0, 'class_weight': None}",0.6166666666666667,0.6166666666666667,0.6182765418192058,0.6166666666666667,0.615357814786426,30
2class,svm,svm_rbf_c1_scale,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'class_weight': None}",0.55,0.55,0.550055617352614,0.55,0.5498749652681301,30
2class,svm,svm_rbf_c3_scale,"{'kernel': 'rbf', 'C': 3.0, 'gamma': 'scale', 'class_weight': None}",0.5833333333333334,0.5833333333333333,0.5835421888053467,0.5833333333333333,0.5830727538044611,30
2class,svm,svm_rbf_c10_scale,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale', 'class_weight': 'balanced'}",0.5875,0.5874999999999999,0.5876521739130435,0.5874999999999999,0.587320885801129,30
2class,random_forest,rf_200_sqrt,"{'n_estimators': 200, 'max_features': 'sqrt', 'class_weight': None}",0.6208333333333333,0.6208333333333333,0.6209089013967063,0.6208333333333333,0.6207740792832214,30
2class,random_forest,rf_500_sqrt,"{'n_estimators': 500, 'max_features': 'sqrt', 'class_weight': None}",0.6041666666666666,0.6041666666666666,0.6041739009653448,0.6041666666666666,0.6041597944408756,30
2class,random_forest,rf_500_log2,"{'n_estimators': 500, 'max_features': 'log2', 'class_weight': None}",0.575,0.575,0.575083426028921,0.575,0.5748819116421229,30
2class,random_forest,rf_800_sqrt,"{'n_estimators': 800, 'max_features': 'sqrt', 'class_weight': None}",0.6125,0.6125,0.6128841195735488,0.6125,0.6121700752376154,30
4class,lda,lda_default,{},0.3375,0.33749999999999997,0.3370707874950104,0.33749999999999997,0.33700776911815983,30
4class,lda,lda_svd,"{'solver': 'svd', 'shrinkage': None}",0.30416666666666664,0.3041666666666667,0.30469565217391303,0.3041666666666667,0.30429874077290486,30
4class,lda,lda_eigen_auto,"{'solver': 'eigen', 'shrinkage': 'auto'}",0.29583333333333334,0.29583333333333334,0.2951260183247983,0.29583333333333334,0.29537125869035374,30
4class,lda,lda_lsqr_shrink_0p5,"{'solver': 'lsqr', 'shrinkage': 0.5}",0.3333333333333333,0.3333333333333333,0.3302413552678855,0.3333333333333333,0.3313044110548726,30
4class,logistic_regression,logreg_c0p1_bal,"{'C': 0.1, 'class_weight': 'balanced'}",0.3229166666666667,0.32291666666666663,0.32135700797619837,0.32291666666666663,0.3218549902215173,30
4class,logistic_regression,logreg_c0p3_bal,"{'C': 0.3, 'class_weight': 'balanced'}",0.3125,0.3125,0.31190416474095034,0.3125,0.31210530547693033,30
4class,logistic_regression,logreg_c1_bal,"{'C': 1.0, 'class_weight': 'balanced'}",0.3125,0.3125,0.3124044025504939,0.3125,0.3122997786245188,30
4class,logistic_regression,logreg_c0p3_none,"{'C': 0.3, 'class_weight': None}",0.3125,0.3125,0.31190416474095034,0.3125,0.31210530547693033,30
4class,svm,svm_linear_c0p3,"{'kernel': 'linear', 'C': 0.3, 'class_weight': None}",0.31875,0.31875000000000003,0.31499408011642815,0.31875000000000003,0.31631379271416626,30
4class,svm,svm_linear_c1,"{'kernel': 'linear', 'C': 1.0, 'class_weight': None}",0.31875,0.31875000000000003,0.31499408011642815,0.31875000000000003,0.31631379271416626,30
4class,svm,svm_rbf_c1_scale,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'class_weight': None}",0.275,0.275,0.27513102413850976,0.275,0.27482417972275697,30
4class,svm,svm_rbf_c3_scale,"{'kernel': 'rbf', 'C': 3.0, 'gamma': 'scale', 'class_weight': None}",0.3104166666666667,0.3104166666666667,0.31069477587536193,0.3104166666666667,0.3103776085160587,30
4class,random_forest,rf_200_sqrt,"{'n_estimators': 200, 'max_features': 'sqrt', 'class_weight': None}",0.32708333333333334,0.32708333333333334,0.32652601438208634,0.32708333333333334,0.32653189163480534,30
4class,random_forest,rf_500_sqrt,"{'n_estimators': 500, 'max_features': 'sqrt', 'class_weight': None}",0.3458333333333333,0.3458333333333333,0.3457014320708498,0.3458333333333333,0.3457306111967129,30
