task,classifier,validation_strategy,subject_id,sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,within_subject_5fold,1,40,0.575,0.575,0.5767263427109974,0.575,0.5725958516656191
2class,lda,within_subject_5fold,2,40,0.675,0.675,0.6754385964912281,0.675,0.6747967479674797
2class,lda,within_subject_5fold,3,40,0.825,0.825,0.8258145363408521,0.825,0.8248905565978737
2class,lda,within_subject_5fold,4,40,0.45,0.45,0.44791666666666663,0.45,0.4444444444444444
2class,lda,within_subject_5fold,5,40,0.625,0.625,0.6333333333333333,0.625,0.6190476190476191
2class,lda,within_subject_5fold,6,40,0.6,0.6000000000000001,0.601010101010101,0.6000000000000001,0.5989974937343359
2class,svm,within_subject_5fold,1,40,0.675,0.675,0.6790281329923273,0.675,0.6731615336266499
2class,svm,within_subject_5fold,2,40,0.575,0.575,0.575187969924812,0.575,0.5747342088805503
2class,svm,within_subject_5fold,3,40,0.625,0.625,0.62531328320802,0.625,0.6247654784240151
2class,svm,within_subject_5fold,4,40,0.475,0.47500000000000003,0.4744245524296675,0.47500000000000003,0.47203016970458833
2class,svm,within_subject_5fold,5,40,0.65,0.6499999999999999,0.6515151515151515,0.6499999999999999,0.6491228070175439
2class,svm,within_subject_5fold,6,40,0.525,0.525,0.525062656641604,0.525,0.5247029393370857
2class,logistic_regression,within_subject_5fold,1,40,0.6,0.6,0.6041666666666667,0.6,0.595959595959596
2class,logistic_regression,within_subject_5fold,2,40,0.65,0.65,0.65,0.65,0.65
2class,logistic_regression,within_subject_5fold,3,40,0.775,0.775,0.7756892230576441,0.775,0.7748592870544091
2class,logistic_regression,within_subject_5fold,4,40,0.525,0.525,0.525062656641604,0.525,0.5247029393370857
2class,logistic_regression,within_subject_5fold,5,40,0.675,0.675,0.6866666666666666,0.675,0.6698412698412699
2class,logistic_regression,within_subject_5fold,6,40,0.55,0.55,0.5505050505050505,0.55,0.5488721804511278
2class,knn,within_subject_5fold,1,40,0.65,0.65,0.6648351648351649,0.65,0.6419437340153453
2class,knn,within_subject_5fold,2,40,0.45,0.45,0.4494949494949495,0.45,0.44862155388471175
2class,knn,within_subject_5fold,3,40,0.575,0.575,0.575187969924812,0.575,0.5747342088805503
2class,knn,within_subject_5fold,4,40,0.475,0.47500000000000003,0.4744245524296675,0.47500000000000003,0.47203016970458833
2class,knn,within_subject_5fold,5,40,0.6,0.6,0.6041666666666667,0.6,0.595959595959596
2class,knn,within_subject_5fold,6,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,random_forest,within_subject_5fold,1,40,0.625,0.625,0.62531328320802,0.625,0.6247654784240151
2class,random_forest,within_subject_5fold,2,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,random_forest,within_subject_5fold,3,40,0.775,0.775,0.7756892230576441,0.775,0.7748592870544091
2class,random_forest,within_subject_5fold,4,40,0.575,0.575,0.5767263427109974,0.575,0.5725958516656191
2class,random_forest,within_subject_5fold,5,40,0.65,0.6499999999999999,0.6515151515151515,0.6499999999999999,0.6491228070175439
2class,random_forest,within_subject_5fold,6,40,0.5,0.5,0.5,0.5,0.4949494949494949
4class,lda,within_subject_5fold,1,80,0.3125,0.3125,0.30987625313283207,0.3125,0.3099735630223435
4class,lda,within_subject_5fold,2,80,0.3375,0.3375,0.38450081857870483,0.3375,0.3527526395173454
4class,lda,within_subject_5fold,3,80,0.3875,0.3875,0.40114002590283426,0.3875,0.3860067497838396
4class,lda,within_subject_5fold,4,80,0.3,0.3,0.29319857615052125,0.3,0.29583372563788723
4class,lda,within_subject_5fold,5,80,0.375,0.375,0.37424242424242427,0.375,0.37418546365914784
4class,lda,within_subject_5fold,6,80,0.3125,0.3125,0.31186868686868685,0.3125,0.3114035087719298
4class,svm,within_subject_5fold,1,80,0.275,0.275,0.2652218782249742,0.275,0.2672623523687353
4class,svm,within_subject_5fold,2,80,0.2875,0.2875,0.2909052144249512,0.2875,0.28590485351403605
4class,svm,within_subject_5fold,3,80,0.4125,0.4125,0.42319930671323863,0.4125,0.4153385474895772
4class,svm,within_subject_5fold,4,80,0.3,0.30000000000000004,0.31238390092879254,0.30000000000000004,0.30468930468930466
4class,svm,within_subject_5fold,5,80,0.35,0.35,0.35274739880003037,0.35,0.35083839993981203
4class,svm,within_subject_5fold,6,80,0.2375,0.2375,0.24322276987718164,0.2375,0.23806401841926764
