task,classifier,validation_strategy,subject_id,sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,40,0.6,0.6,0.696078431372549,0.6,0.5441595441595442
2class,lda,loso,2,40,0.45,0.45,0.4019607843137255,0.45,0.3732193732193732
2class,lda,loso,3,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,lda,loso,4,40,0.525,0.525,0.5255754475703325,0.525,0.5223130106851037
2class,lda,loso,5,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,lda,loso,6,40,0.55,0.55,0.5666666666666667,0.55,0.52
2class,svm,loso,1,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,svm,loso,2,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,svm,loso,3,40,0.55,0.55,0.5666666666666667,0.55,0.52
2class,svm,loso,4,40,0.4,0.4,0.38095238095238093,0.4,0.375
2class,svm,loso,5,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,svm,loso,6,40,0.475,0.475,0.47333333333333333,0.475,0.4666666666666667
2class,logistic_regression,loso,1,40,0.65,0.6499999999999999,0.734375,0.6499999999999999,0.6153846153846154
2class,logistic_regression,loso,2,40,0.5,0.5,0.5,0.5,0.40476190476190477
2class,logistic_regression,loso,3,40,0.475,0.475,0.46415770609318996,0.475,0.43204868154158216
2class,logistic_regression,loso,4,40,0.575,0.575,0.575187969924812,0.575,0.5747342088805503
2class,logistic_regression,loso,5,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,logistic_regression,loso,6,40,0.55,0.55,0.5666666666666667,0.55,0.52
2class,knn,loso,1,40,0.6,0.6,0.6333333333333333,0.6,0.5733333333333334
2class,knn,loso,2,40,0.525,0.525,0.5432900432900433,0.525,0.4689028651292802
2class,knn,loso,3,40,0.625,0.625,0.62531328320802,0.625,0.6247654784240151
2class,knn,loso,4,40,0.525,0.525,0.5255754475703325,0.525,0.5223130106851037
2class,knn,loso,5,40,0.45,0.45,0.4494949494949495,0.45,0.44862155388471175
2class,knn,loso,6,40,0.5,0.5,0.5,0.5,0.4791666666666667
2class,random_forest,loso,1,40,0.525,0.525,0.5432900432900433,0.525,0.4689028651292802
2class,random_forest,loso,2,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,random_forest,loso,3,40,0.575,0.575,0.575187969924812,0.575,0.5747342088805503
2class,random_forest,loso,4,40,0.475,0.475,0.47333333333333333,0.475,0.4666666666666667
2class,random_forest,loso,5,40,0.55,0.55,0.5595238095238095,0.55,0.53125
2class,random_forest,loso,6,40,0.55,0.55,0.5505050505050505,0.55,0.5488721804511278
4class,lda,loso,1,80,0.25,0.25,0.20611035111719106,0.25,0.183114791810444
4class,lda,loso,2,80,0.2625,0.2625,0.1951990632318501,0.2625,0.16814814814814813
4class,lda,loso,3,80,0.3,0.30000000000000004,0.35827294685990335,0.30000000000000004,0.2877619473549706
4class,lda,loso,4,80,0.3,0.30000000000000004,0.35505952380952377,0.30000000000000004,0.2922811059907834
4class,lda,loso,5,80,0.275,0.275,0.3153846153846154,0.275,0.2
4class,lda,loso,6,80,0.2375,0.2375,0.1707385905499113,0.2375,0.17373785087530955
4class,svm,loso,1,80,0.2875,0.2875,0.17896825396825394,0.2875,0.17452107279693485
4class,svm,loso,2,80,0.275,0.275,0.27371794871794874,0.275,0.18522727272727274
4class,svm,loso,3,80,0.3,0.3,0.29673763736263736,0.3,0.28907004830917876
4class,svm,loso,4,80,0.2375,0.2375,0.2606456043956044,0.2375,0.22446431032106928
4class,svm,loso,5,80,0.225,0.22499999999999998,0.22125,0.22499999999999998,0.20277777777777778
4class,svm,loso,6,80,0.3125,0.3125,0.3237195322793149,0.3125,0.29875084449459177
4class,logistic_regression,loso,1,80,0.225,0.225,0.1937669376693767,0.225,0.1669381936666327
4class,logistic_regression,loso,2,80,0.25,0.25,0.12678571428571428,0.25,0.13571428571428573
4class,logistic_regression,loso,3,80,0.2875,0.2875,0.33077010708589655,0.2875,0.28067135775373236
4class,logistic_regression,loso,4,80,0.3,0.3,0.3929623983739838,0.3,0.2872787843926757
4class,logistic_regression,loso,5,80,0.3125,0.3125,0.5589285714285714,0.3125,0.2174206349206349
4class,logistic_regression,loso,6,80,0.25,0.25,0.22566287878787877,0.25,0.20340185536580221
4class,knn,loso,1,80,0.3125,0.3125,0.39711538461538465,0.3125,0.2625
4class,knn,loso,2,80,0.3375,0.3375,0.3639802631578948,0.3375,0.2936091359620771
4class,knn,loso,3,80,0.2875,0.28750000000000003,0.29662698412698413,0.28750000000000003,0.2891081871345029
4class,knn,loso,4,80,0.25,0.24999999999999997,0.26655982905982906,0.24999999999999997,0.24750797448165868
4class,knn,loso,5,80,0.2875,0.2875,0.30014297385620914,0.2875,0.2839607699805068
4class,knn,loso,6,80,0.25,0.25,0.22852928321678323,0.25,0.22714154709245873
4class,random_forest,loso,1,80,0.2625,0.2625,0.26279761904761906,0.2625,0.19597889651665396
4class,random_forest,loso,2,80,0.2625,0.2625,0.15836940836940838,0.2625,0.16692576758647493
4class,random_forest,loso,3,80,0.35,0.35000000000000003,0.4142156862745098,0.35000000000000003,0.3465625445728141
4class,random_forest,loso,4,80,0.225,0.22499999999999998,0.2888392857142857,0.22499999999999998,0.2288034188034188
4class,random_forest,loso,5,80,0.2875,0.2875,0.28348164627363737,0.2875,0.2657783113245298
4class,random_forest,loso,6,80,0.3375,0.3375,0.32032428355957765,0.3375,0.32349642132250833
6class,lda,loso,1,120,0.16666666666666666,0.16666666666666666,0.10808119332146793,0.16666666666666666,0.12266838072191975
6class,lda,loso,2,120,0.2,0.20000000000000004,0.12465079837771915,0.20000000000000004,0.12810973907498038
6class,lda,loso,3,120,0.24166666666666667,0.2416666666666667,0.2117965367965368,0.2416666666666667,0.2136556499056499
6class,lda,loso,4,120,0.23333333333333334,0.2333333333333333,0.2794834307992203,0.2333333333333333,0.22255864702673211
6class,lda,loso,5,120,0.2,0.19999999999999998,0.23011695906432747,0.19999999999999998,0.15304297256133836
6class,lda,loso,6,120,0.2,0.19999999999999998,0.18850022716301784,0.19999999999999998,0.1791907166907167
6class,svm,loso,1,120,0.21666666666666667,0.21666666666666667,0.2829840365229647,0.21666666666666667,0.16137566137566137
6class,svm,loso,2,120,0.2,0.19999999999999998,0.16545584045584047,0.19999999999999998,0.13005050505050506
6class,svm,loso,3,120,0.20833333333333334,0.20833333333333334,0.2130772005772006,0.20833333333333334,0.20233504512916278
6class,svm,loso,4,120,0.18333333333333332,0.18333333333333332,0.1706894252156064,0.18333333333333332,0.17200616280073647
6class,svm,loso,5,120,0.18333333333333332,0.18333333333333335,0.21422558922558924,0.18333333333333335,0.17086166703928582
6class,svm,loso,6,120,0.15833333333333333,0.15833333333333333,0.1777979373567609,0.15833333333333333,0.1453607217048077
6class,logistic_regression,loso,1,120,0.15,0.15,0.08832476814932955,0.15,0.10748702258136221
6class,logistic_regression,loso,2,120,0.18333333333333332,0.18333333333333335,0.1296897546897547,0.18333333333333335,0.12193788773390997
6class,logistic_regression,loso,3,120,0.25,0.25,0.23350168350168352,0.25,0.22734176218047186
6class,logistic_regression,loso,4,120,0.2,0.19999999999999998,0.25558854463778063,0.19999999999999998,0.19368145032281656
6class,logistic_regression,loso,5,120,0.20833333333333334,0.20833333333333334,0.3347222222222222,0.20833333333333334,0.15583638583638584
6class,logistic_regression,loso,6,120,0.19166666666666668,0.19166666666666668,0.18024110444323208,0.19166666666666668,0.17062555370838875
6class,knn,loso,1,120,0.2,0.19999999999999998,0.1665674603174603,0.19999999999999998,0.16912748498114352
6class,knn,loso,2,120,0.225,0.225,0.21064983964600334,0.225,0.1771453126754636
6class,knn,loso,3,120,0.20833333333333334,0.20833333333333334,0.21637974634298163,0.20833333333333334,0.210081464277549
6class,knn,loso,4,120,0.2,0.20000000000000004,0.2079804253717297,0.20000000000000004,0.193177660997741
6class,knn,loso,5,120,0.175,0.17500000000000002,0.17461865831431048,0.17500000000000002,0.17197989688809764
6class,knn,loso,6,120,0.18333333333333332,0.18333333333333335,0.18082685541767698,0.18333333333333335,0.1649065337024636
6class,random_forest,loso,1,120,0.175,0.17500000000000002,0.14965811965811968,0.17500000000000002,0.14096193661411052
6class,random_forest,loso,2,120,0.19166666666666668,0.19166666666666668,0.17196969696969697,0.19166666666666668,0.13356451109028428
6class,random_forest,loso,3,120,0.23333333333333334,0.2333333333333333,0.26835016835016834,0.2333333333333333,0.2162881562881563
6class,random_forest,loso,4,120,0.16666666666666666,0.16666666666666666,0.15976154630306172,0.16666666666666666,0.155691722511999
6class,random_forest,loso,5,120,0.2,0.20000000000000004,0.20664886854818207,0.20000000000000004,0.18710125123918228
6class,random_forest,loso,6,120,0.24166666666666667,0.24166666666666667,0.2623708010335917,0.24166666666666667,0.23192692975301668
