task,classifier,validation_strategy,subject_id,sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso_filtered,1,40,0.675,0.675,0.6994301994301995,0.675,0.6647324306898775
2class,lda,loso_filtered,2,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,lda,loso_filtered,3,40,0.475,0.475,0.474937343358396,0.475,0.474671669793621
2class,lda,loso_filtered,4,40,0.55,0.55,0.554945054945055,0.55,0.5396419437340154
2class,lda,loso_filtered,5,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,lda,loso_filtered,6,40,0.6,0.6,0.6041666666666667,0.6,0.595959595959596
2class,svm,loso_filtered,1,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,svm,loso_filtered,2,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,svm,loso_filtered,3,40,0.45,0.44999999999999996,0.44505494505494503,0.44999999999999996,0.4373401534526854
2class,svm,loso_filtered,4,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,svm,loso_filtered,5,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,svm,loso_filtered,6,40,0.6,0.6000000000000001,0.601010101010101,0.6000000000000001,0.5989974937343359
2class,logistic_regression,loso_filtered,1,40,0.65,0.65,0.7,0.65,0.6266666666666667
2class,logistic_regression,loso_filtered,2,40,0.45,0.45,0.4019607843137255,0.45,0.3732193732193732
2class,logistic_regression,loso_filtered,3,40,0.5,0.5,0.5,0.5,0.4949494949494949
2class,logistic_regression,loso_filtered,4,40,0.55,0.55,0.554945054945055,0.55,0.5396419437340154
2class,logistic_regression,loso_filtered,5,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,logistic_regression,loso_filtered,6,40,0.6,0.6,0.6,0.6,0.6
2class,knn,loso_filtered,1,40,0.55,0.55,0.578125,0.55,0.5054945054945055
2class,knn,loso_filtered,2,40,0.475,0.475,0.44285714285714284,0.475,0.3890909090909091
2class,knn,loso_filtered,3,40,0.5,0.5,0.5,0.5,0.48849104859335035
2class,knn,loso_filtered,4,40,0.55,0.55,0.5520833333333333,0.55,0.5454545454545454
2class,knn,loso_filtered,5,40,0.425,0.425,0.42327365728900257,0.425,0.42174732872407295
2class,knn,loso_filtered,6,40,0.5,0.5,0.5,0.5,0.4666666666666667
2class,random_forest,loso_filtered,1,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,random_forest,loso_filtered,2,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,random_forest,loso_filtered,3,40,0.575,0.575,0.5767263427109974,0.575,0.5725958516656191
2class,random_forest,loso_filtered,4,40,0.525,0.5249999999999999,0.5284900284900285,0.5249999999999999,0.5099935525467441
2class,random_forest,loso_filtered,5,40,0.525,0.5249999999999999,0.5284900284900285,0.5249999999999999,0.5099935525467441
2class,random_forest,loso_filtered,6,40,0.65,0.65,0.6648351648351649,0.65,0.6419437340153453
4class,lda,loso_filtered,1,80,0.2375,0.2375,0.1845694799658994,0.2375,0.17193680868754568
4class,lda,loso_filtered,2,80,0.225,0.225,0.14871794871794872,0.225,0.12173913043478261
4class,lda,loso_filtered,3,80,0.2875,0.28750000000000003,0.3017797017797018,0.28750000000000003,0.2841772308300591
4class,lda,loso_filtered,4,80,0.3,0.3,0.23154761904761903,0.3,0.24117218987908645
4class,lda,loso_filtered,5,80,0.2625,0.2625,0.24166666666666667,0.2625,0.21987374327799858
4class,lda,loso_filtered,6,80,0.3125,0.3125,0.2826388888888889,0.3125,0.2786778911257561
4class,svm,loso_filtered,1,80,0.225,0.22499999999999998,0.10932203389830508,0.22499999999999998,0.13860759493670888
4class,svm,loso_filtered,2,80,0.275,0.275,0.1489071038251366,0.275,0.17771280051981805
4class,svm,loso_filtered,3,80,0.3125,0.3125,0.33712227463980626,0.3125,0.3137051069490062
4class,svm,loso_filtered,4,80,0.275,0.275,0.365,0.275,0.237012987012987
4class,svm,loso_filtered,5,80,0.25,0.25,0.22759740259740258,0.25,0.2230810463121784
4class,svm,loso_filtered,6,80,0.2875,0.28750000000000003,0.28888888888888886,0.28750000000000003,0.2817982456140351
4class,logistic_regression,loso_filtered,1,80,0.2,0.2,0.15837813620071683,0.2,0.14677601809954752
4class,logistic_regression,loso_filtered,2,80,0.275,0.275,0.23708920187793425,0.275,0.1533683707596751
4class,logistic_regression,loso_filtered,3,80,0.2875,0.2875,0.2968844525105868,0.2875,0.27623566909281194
4class,logistic_regression,loso_filtered,4,80,0.275,0.275,0.19407703488372094,0.275,0.20513431013431013
4class,logistic_regression,loso_filtered,5,80,0.2625,0.2625,0.2181818181818182,0.2625,0.19
4class,logistic_regression,loso_filtered,6,80,0.275,0.275,0.2606758832565284,0.275,0.24958844057717652
4class,knn,loso_filtered,1,80,0.3125,0.3125,0.38888195138195136,0.3125,0.26903431964573266
4class,knn,loso_filtered,2,80,0.2625,0.2625,0.24992001279795234,0.2625,0.2220308712846026
4class,knn,loso_filtered,3,80,0.2875,0.2875,0.29624766573295985,0.2875,0.29062451703658376
4class,knn,loso_filtered,4,80,0.275,0.275,0.29184616947774844,0.275,0.2708303564340716
4class,knn,loso_filtered,5,80,0.25,0.25,0.2660339853644807,0.25,0.24781729620439297
4class,knn,loso_filtered,6,80,0.225,0.225,0.20096232596232594,0.225,0.20097117794486213
4class,random_forest,loso_filtered,1,80,0.225,0.22499999999999998,0.16696247464503045,0.22499999999999998,0.15111746361746362
4class,random_forest,loso_filtered,2,80,0.3,0.3,0.16575235109717867,0.3,0.21141581632653061
4class,random_forest,loso_filtered,3,80,0.3,0.3,0.2965826330532213,0.3,0.2961107448912327
4class,random_forest,loso_filtered,4,80,0.3,0.3,0.24414414414414415,0.3,0.26148705096073516
4class,random_forest,loso_filtered,5,80,0.2625,0.2625,0.39954780361757103,0.2625,0.25384810225235754
4class,random_forest,loso_filtered,6,80,0.2625,0.2625,0.25761904761904764,0.2625,0.2399134199134199
6class,lda,loso_filtered,1,120,0.2,0.20000000000000004,0.13282481566234425,0.20000000000000004,0.1540586545237708
6class,lda,loso_filtered,2,120,0.19166666666666668,0.19166666666666668,0.18862538427755818,0.19166666666666668,0.12198763329548744
6class,lda,loso_filtered,3,120,0.2,0.19999999999999998,0.20181823007909963,0.19999999999999998,0.18639771059883226
6class,lda,loso_filtered,4,120,0.2,0.19999999999999998,0.23861694677871145,0.19999999999999998,0.17508267968763527
6class,lda,loso_filtered,5,120,0.19166666666666668,0.19166666666666668,0.1790088383838384,0.19166666666666668,0.16098796066538001
6class,lda,loso_filtered,6,120,0.19166666666666668,0.19166666666666668,0.20949148890325361,0.19166666666666668,0.17645556601453138
6class,svm,loso_filtered,1,120,0.23333333333333334,0.2333333333333333,0.24165313852813852,0.2333333333333333,0.17951046732763262
6class,svm,loso_filtered,2,120,0.19166666666666668,0.19166666666666668,0.10070074852683548,0.19166666666666668,0.103144074306865
6class,svm,loso_filtered,3,120,0.2,0.20000000000000004,0.19056316521253405,0.20000000000000004,0.1862450362045849
6class,svm,loso_filtered,4,120,0.2,0.19999999999999998,0.190018315018315,0.19999999999999998,0.16443496590555415
6class,svm,loso_filtered,5,120,0.19166666666666668,0.19166666666666665,0.16039526921879865,0.19166666666666665,0.16402802285155224
6class,svm,loso_filtered,6,120,0.15833333333333333,0.15833333333333333,0.1590053139348914,0.15833333333333333,0.13143428829703338
6class,logistic_regression,loso_filtered,1,120,0.125,0.125,0.0835473078120137,0.125,0.09870860248348236
6class,logistic_regression,loso_filtered,2,120,0.19166666666666668,0.19166666666666668,0.14031986531986532,0.19166666666666668,0.10369747899159663
6class,logistic_regression,loso_filtered,3,120,0.19166666666666668,0.19166666666666665,0.1842667566351777,0.19166666666666665,0.17707145100762123
6class,logistic_regression,loso_filtered,4,120,0.2,0.19999999999999998,0.3806712962962963,0.19999999999999998,0.1791014541014541
6class,logistic_regression,loso_filtered,5,120,0.20833333333333334,0.2083333333333333,0.21492063492063487,0.2083333333333333,0.17976243598733557
6class,logistic_regression,loso_filtered,6,120,0.175,0.17500000000000002,0.16596388781348131,0.17500000000000002,0.15466012806855192
6class,knn,loso_filtered,1,120,0.19166666666666668,0.19166666666666665,0.20525271512113616,0.19166666666666665,0.18182867268233124
6class,knn,loso_filtered,2,120,0.19166666666666668,0.19166666666666665,0.18616383616383614,0.19166666666666665,0.16205211355748989
6class,knn,loso_filtered,3,120,0.2,0.19999999999999998,0.21530462184873947,0.19999999999999998,0.20375737728678903
6class,knn,loso_filtered,4,120,0.20833333333333334,0.20833333333333334,0.23143406564459193,0.20833333333333334,0.20446141879898685
6class,knn,loso_filtered,5,120,0.175,0.17500000000000002,0.1807241168654212,0.17500000000000002,0.17329041451819857
6class,knn,loso_filtered,6,120,0.2,0.20000000000000004,0.17921318447634238,0.20000000000000004,0.17252816763226653
6class,random_forest,loso_filtered,1,120,0.14166666666666666,0.1416666666666667,0.1298538961038961,0.1416666666666667,0.11902035546410054
6class,random_forest,loso_filtered,2,120,0.24166666666666667,0.2416666666666667,0.19179894179894177,0.2416666666666667,0.18549142102177774
6class,random_forest,loso_filtered,3,120,0.25,0.25000000000000006,0.27841614906832296,0.25000000000000006,0.24713975794687149
6class,random_forest,loso_filtered,4,120,0.20833333333333334,0.20833333333333334,0.27240727349423005,0.20833333333333334,0.20165207769246937
6class,random_forest,loso_filtered,5,120,0.19166666666666668,0.19166666666666665,0.20880793753134178,0.19166666666666665,0.1760678705021507
6class,random_forest,loso_filtered,6,120,0.225,0.225,0.24772079772079772,0.225,0.19619158718177454
