task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.6,0.6,0.6333333333333333,0.6,0.5733333333333334
2class,lda,loso,2,2,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
2class,lda,loso,3,3,,200,40,0.4,0.4,0.4,0.4,0.4
2class,lda,loso,4,4,,200,40,0.525,0.525,0.5313479623824451,0.525,0.49967083607636603
2class,lda,loso,5,5,,200,40,0.55,0.55,0.55,0.55,0.55
2class,lda,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,svm,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,svm,loso,2,2,,200,40,0.5,0.5,0.5,0.5,0.5
2class,svm,loso,3,3,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,svm,loso,4,4,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,svm,loso,5,5,,200,40,0.575,0.575,0.5800000000000001,0.575,0.5682539682539682
2class,svm,loso,6,6,,200,40,0.475,0.475,0.44285714285714284,0.475,0.3890909090909091
2class,logistic_regression,loso,1,1,,200,40,0.575,0.575,0.60752688172043,0.575,0.5402298850574713
2class,logistic_regression,loso,2,2,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
2class,logistic_regression,loso,3,3,,200,40,0.425,0.42500000000000004,0.424812030075188,0.42500000000000004,0.42464040025015637
2class,logistic_regression,loso,4,4,,200,40,0.5,0.5,0.5,0.5,0.4666666666666667
2class,logistic_regression,loso,5,5,,200,40,0.525,0.525,0.525062656641604,0.525,0.5247029393370857
2class,logistic_regression,loso,6,6,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
2class,knn,loso,1,1,,200,40,0.45,0.45,0.4019607843137255,0.45,0.3732193732193732
2class,knn,loso,2,2,,200,40,0.55,0.55,0.554945054945055,0.55,0.5396419437340154
2class,knn,loso,3,3,,200,40,0.375,0.375,0.3721227621483376,0.375,0.37146448774355756
2class,knn,loso,4,4,,200,40,0.475,0.475,0.474937343358396,0.475,0.474671669793621
2class,knn,loso,5,5,,200,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,knn,loso,6,6,,200,40,0.475,0.475,0.47150997150997154,0.475,0.4584139264990329
2class,random_forest,loso,1,1,,200,40,0.475,0.475,0.46415770609318996,0.475,0.43204868154158216
2class,random_forest,loso,2,2,,200,40,0.425,0.42500000000000004,0.42000000000000004,0.42500000000000004,0.41587301587301584
2class,random_forest,loso,3,3,,200,40,0.55,0.55,0.5505050505050505,0.55,0.5488721804511278
2class,random_forest,loso,4,4,,200,40,0.55,0.5499999999999999,0.6388888888888888,0.5499999999999999,0.4642857142857143
2class,random_forest,loso,5,5,,200,40,0.45,0.45,0.44791666666666663,0.45,0.4444444444444444
2class,random_forest,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.4301994301994302
4class,lda,loso,1,1,,400,80,0.275,0.275,0.32824708830900784,0.275,0.23872480516693623
4class,lda,loso,2,2,,400,80,0.175,0.175,0.14583333333333331,0.175,0.14285714285714285
4class,lda,loso,3,3,,400,80,0.2125,0.2125,0.26848223615464994,0.2125,0.21723783853163908
