task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,loso,6,0.5083333333333333,0.5083333333333333,0.5093749999999999,0.5083333333333333,0.49428571428571433,0.5083333333333333,0.06236095644623236,0.5083333333333333,0.06236095644623236,0.4347118398842536,0.14940517003988762,0.5083333333333333,0.06236095644623236,0.4463952335080195,0.100072283303096
2class,svm,loso,6,0.5125,0.5125,0.5139762403913347,0.5125,0.4992778045257583,0.5125,0.031457643480294784,0.5125,0.031457643480294784,0.46811657279399216,0.10594861850015344,0.5125,0.031457643480294784,0.4416430410548058,0.08227471309938043
2class,logistic_regression,loso,6,0.49583333333333335,0.49583333333333335,0.49539559511933084,0.49583333333333335,0.4835588910031833,0.49583333333333335,0.04658474953124561,0.49583333333333335,0.046584749531245605,0.42409684260278485,0.13830407395748032,0.49583333333333335,0.046584749531245605,0.4333846146535916,0.0873089042471841
2class,knn,loso,6,0.4708333333333333,0.4708333333333333,0.4703703703703704,0.4708333333333333,0.4687581699346405,0.4708333333333334,0.05286907308520635,0.4708333333333334,0.05286907308520635,0.4625793193792476,0.0605821883730978,0.4708333333333334,0.05286907308520635,0.45269304469292,0.06206313583834764
2class,random_forest,loso,6,0.49166666666666664,0.4916666666666667,0.49151583710407243,0.4916666666666667,0.4893973214285714,0.4916666666666667,0.04714045207910319,0.4916666666666667,0.04714045207910315,0.5035780520256327,0.07321362861418206,0.4916666666666667,0.04714045207910315,0.4559539111325525,0.04411523356529752
4class,lda,loso,6,0.25625,0.25625,0.2541039164766594,0.25625,0.2517369981733364,0.25625000000000003,0.047186465220442196,0.25625000000000003,0.047186465220442196,0.2464749006361182,0.05441007031349188,0.25625000000000003,0.047186465220442196,0.21852191944892255,0.03898525668161755
4class,svm,loso,6,0.25,0.25,0.24444828927075005,0.25,0.23657873459175086,0.25,0.036799003609699364,0.24999999999999997,0.03679900360969937,0.22551314099884257,0.07772335856094384,0.24999999999999997,0.03679900360969937,0.19058414673595783,0.0495167634760875
4class,logistic_regression,loso,6,0.24375,0.24375,0.23941190296379636,0.24375,0.2334021757606663,0.24375,0.02473821268132899,0.24375000000000002,0.02473821268132898,0.21194209499236674,0.05265905306675973,0.24375000000000002,0.02473821268132898,0.1983095811815401,0.026249067018121762
4class,knn,loso,6,0.25,0.25,0.25179403122493677,0.25,0.24908486363384152,0.25,0.0338501600193165,0.25,0.03385016001931649,0.22768031571351754,0.052615904356063115,0.25,0.03385016001931649,0.21769273851010437,0.03611795683875446
4class,random_forest,loso,6,0.2791666666666667,0.2791666666666667,0.28573900593748225,0.2791666666666667,0.26841323239774184,0.2791666666666666,0.05187458165828638,0.2791666666666666,0.05187458165828638,0.267320221454833,0.0923406270081337,0.2791666666666666,0.05187458165828638,0.23091590716036267,0.0759876544734438
6class,lda,loso,6,0.19583333333333333,0.1958333333333333,0.19771688869679707,0.1958333333333333,0.19469606138539594,0.19583333333333333,0.029560828685823288,0.19583333333333333,0.029560828685823257,0.1815717760199352,0.07808992942406415,0.19583333333333333,0.029560828685823257,0.1629775190538996,0.047703154482276855
6class,svm,loso,6,0.16111111111111112,0.16111111111111112,0.16501195218965017,0.16111111111111112,0.1569121151474857,0.1611111111111111,0.028733556757746116,0.16111111111111112,0.028733556757746127,0.1445991094398812,0.041550831970706956,0.16111111111111112,0.028733556757746127,0.1206427479481025,0.030686727037238234
6class,logistic_regression,loso,6,0.20555555555555555,0.20555555555555557,0.20264538990009415,0.20555555555555557,0.20159861529205236,0.20555555555555552,0.025760051376376956,0.20555555555555552,0.02576005137637697,0.1861781540096076,0.059902084174932826,0.20555555555555552,0.02576005137637697,0.17302677039959638,0.04573579219223742
6class,knn,loso,6,0.1763888888888889,0.17638888888888885,0.17543957490131748,0.17638888888888885,0.1737280585074397,0.1763888888888889,0.012187450538044623,0.1763888888888889,0.012187450538044617,0.14825203567238784,0.030484724611516103,0.1763888888888889,0.012187450538044617,0.14723769190334987,0.028926226952413845
6class,random_forest,loso,6,0.17916666666666667,0.1791666666666667,0.18768108110499637,0.1791666666666667,0.1755423832099826,0.1791666666666667,0.029949803684510872,0.17916666666666667,0.02994980368451087,0.16300258872121015,0.051315863751870056,0.17916666666666667,0.02994980368451087,0.14155560527687538,0.0390732498125545
