task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,within_subject_5fold,30,0.6208333333333333,0.6208333333333333,0.6210434782608696,0.6208333333333333,0.6206686930091185,0.6208333333333333,0.17819503983619245,0.6208333333333333,0.17819503983619245,0.6373015873015873,0.19906938945779182,0.6208333333333333,0.17819503983619245,0.6081000481000481,0.18447697508801078
2class,svm,within_subject_5fold,30,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.17950549357115012,0.5916666666666667,0.17950549357115012,0.6096825396825396,0.2183719161814769,0.5916666666666667,0.17950549357115012,0.5727609427609427,0.19032945316209304
2class,logistic_regression,within_subject_5fold,30,0.6125,0.6125,0.6128841195735488,0.6125,0.6121700752376154,0.6125,0.16249999999999998,0.6125,0.16249999999999998,0.6329365079365078,0.18688892191834827,0.6125,0.16249999999999998,0.5981842231842232,0.16895572059864572
2class,knn,within_subject_5fold,30,0.5416666666666666,0.5416666666666666,0.5422416220782877,0.5416666666666666,0.5401017350707268,0.5416666666666666,0.18633899812498245,0.5416666666666666,0.18633899812498245,0.5272222222222223,0.22091909585542902,0.5416666666666666,0.18633899812498245,0.5206613756613757,0.1983452248588149
2class,random_forest,within_subject_5fold,30,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.19293061504650377,0.6083333333333333,0.19293061504650377,0.6211111111111111,0.23249097490861484,0.6083333333333333,0.19293061504650377,0.59025974025974,0.20523234990233818
4class,lda,within_subject_5fold,30,0.33958333333333335,0.33958333333333335,0.3380080688362127,0.33958333333333335,0.3385151112226852,0.33958333333333335,0.12149602759852778,0.33958333333333335,0.12149602759852778,0.3340476190476191,0.1334702829135117,0.33958333333333335,0.12149602759852778,0.3217736892736892,0.12282513255589024
4class,svm,within_subject_5fold,30,0.325,0.325,0.32604868802324977,0.325,0.32523014090144153,0.325,0.12119199643540823,0.325,0.12119199643540823,0.3258895502645503,0.13672436182728184,0.325,0.12119199643540823,0.3078905816405816,0.11858346972830942
4class,logistic_regression,within_subject_5fold,30,0.33958333333333335,0.33958333333333335,0.34127310924369747,0.33958333333333335,0.34024585723085354,0.33958333333333335,0.12776456755384968,0.33958333333333335,0.12776456755384968,0.33014880952380954,0.13835346614215313,0.33958333333333335,0.12776456755384968,0.3227109927109927,0.12832152648513975
4class,knn,within_subject_5fold,30,0.3125,0.3125,0.31195342118773794,0.3125,0.31161742475566745,0.3125,0.11967838846954226,0.3125,0.11967838846954226,0.30956679894179895,0.1569486828840701,0.3125,0.11967838846954226,0.29474516224516223,0.11889126455258776
4class,random_forest,within_subject_5fold,30,0.3020833333333333,0.3020833333333333,0.3012291886946221,0.3020833333333333,0.3014577762827485,0.3020833333333333,0.11190040834996488,0.3020833333333333,0.11190040834996488,0.29336760461760464,0.12734903977904724,0.3020833333333333,0.11190040834996488,0.28260461760461764,0.10954729831759502
6class,lda,within_subject_5fold,30,0.25416666666666665,0.25416666666666665,0.25296341544280637,0.25416666666666665,0.2531890069869144,0.25416666666666665,0.09400428477232065,0.25416666666666665,0.09400428477232065,0.24735890652557316,0.11041420281621254,0.25416666666666665,0.09400428477232065,0.2368548735215402,0.09354409922161995
6class,svm,within_subject_5fold,30,0.25833333333333336,0.2583333333333333,0.26066579417843105,0.2583333333333333,0.2592527835140033,0.25833333333333336,0.10671873729054748,0.25833333333333336,0.10671873729054748,0.2680621693121693,0.12466372906299576,0.25833333333333336,0.10671873729054748,0.24479107312440646,0.10420607273264988
6class,logistic_regression,within_subject_5fold,30,0.25416666666666665,0.2541666666666666,0.254291128529127,0.2541666666666666,0.2541099979010225,0.25416666666666665,0.0964353074268886,0.25416666666666665,0.0964353074268886,0.25590388007054676,0.1110724965095012,0.25416666666666665,0.0964353074268886,0.24208337958337955,0.09700776392918067
6class,knn,within_subject_5fold,30,0.225,0.225,0.22595128101615422,0.225,0.22475778492525275,0.22500000000000006,0.09537935951882998,0.22500000000000006,0.09537935951882998,0.21979116562449894,0.126543514364438,0.22500000000000006,0.09537935951882998,0.20580453497120166,0.09813521295466164
6class,random_forest,within_subject_5fold,30,0.2263888888888889,0.2263888888888889,0.22725708297505856,0.2263888888888889,0.22665277955026095,0.22638888888888883,0.09782550918300184,0.22638888888888883,0.09782550918300184,0.24170234086900752,0.12125057626143196,0.22638888888888883,0.09782550918300184,0.21529843613176947,0.0947158158606664
