task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,within_subject_5fold,30,0.6333333333333333,0.6333333333333333,0.6336675020885547,0.6333333333333333,0.6331040233479258,0.6333333333333333,0.1880085695446413,0.6333333333333333,0.1880085695446413,0.6415079365079365,0.22803730859082563,0.6333333333333333,0.1880085695446413,0.6139754689754692,0.2039026789526283
2class,svm,within_subject_5fold,30,0.5625,0.5625,0.5626086956521739,0.5625,0.5623100303951367,0.5625,0.15728821740147395,0.5625,0.15728821740147395,0.5858730158730159,0.18775228261491284,0.5625,0.15728821740147395,0.5440933140933141,0.16122752128934237
2class,logistic_regression,within_subject_5fold,30,0.6083333333333333,0.6083333333333334,0.6094276094276094,0.6083333333333334,0.6073517126148705,0.6083333333333333,0.19021187017522212,0.6083333333333333,0.19021187017522212,0.6148412698412697,0.22415262736076433,0.6083333333333333,0.19021187017522212,0.5902188552188554,0.20241891586302663
2class,knn,within_subject_5fold,30,0.525,0.525,0.5258695027306697,0.525,0.5209748581833462,0.525,0.1837117307087384,0.525,0.1837117307087384,0.5211904761904761,0.23762202975512034,0.525,0.1837117307087384,0.4967195767195766,0.19714142185829736
2class,random_forest,within_subject_5fold,30,0.5875,0.5874999999999999,0.5875547217010632,0.5874999999999999,0.5874355368026254,0.5875,0.18582585934148133,0.5875,0.18582585934148133,0.5890476190476192,0.22363519046138156,0.5875,0.18582585934148133,0.5621260221260221,0.19883147282342664
4class,lda,within_subject_5fold,30,0.32708333333333334,0.32708333333333334,0.32682580436376113,0.32708333333333334,0.32649014684236694,0.32708333333333334,0.13567283462637447,0.32708333333333334,0.13567283462637447,0.3347982804232804,0.17169542225740603,0.32708333333333334,0.13567283462637447,0.31278416028416023,0.13926665484005019
4class,svm,within_subject_5fold,30,0.29375,0.29375,0.29436765223661965,0.29375,0.29342631851592427,0.29375,0.11427990126585398,0.29375,0.11427990126585398,0.29433531746031744,0.13010847796193925,0.29375,0.11427990126585398,0.28086630961630965,0.11571353880541818
4class,logistic_regression,within_subject_5fold,30,0.3333333333333333,0.33333333333333337,0.33370704439397525,0.33333333333333337,0.333079864180213,0.3333333333333333,0.14994211846205485,0.3333333333333333,0.14994211846205485,0.34188492063492065,0.17015284546394144,0.3333333333333333,0.14994211846205485,0.3207251082251082,0.1490106275913689
4class,knn,within_subject_5fold,30,0.26666666666666666,0.26666666666666666,0.26721193692342315,0.26666666666666666,0.2657243110356609,0.26666666666666666,0.10817295821455973,0.26666666666666666,0.10817295821455973,0.24917989417989414,0.1171246643521085,0.26666666666666666,0.10817295821455973,0.2456062456062456,0.10742554821824711
4class,random_forest,within_subject_5fold,30,0.32083333333333336,0.3208333333333333,0.31838044308632546,0.3208333333333333,0.31940165924252273,0.32083333333333336,0.11265421528829812,0.32083333333333336,0.11265421528829812,0.3303935185185185,0.14292550650429933,0.32083333333333336,0.11265421528829812,0.30850085100085095,0.11504417505880966
6class,lda,within_subject_5fold,30,0.25555555555555554,0.2555555555555556,0.25815971556169853,0.2555555555555556,0.25660130848711565,0.2555555555555556,0.11473264682257436,0.2555555555555556,0.11473264682257436,0.26302028218694884,0.1311439381704012,0.2555555555555556,0.11473264682257436,0.24648928232261563,0.11405417259037354
6class,svm,within_subject_5fold,30,0.2375,0.23749999999999996,0.24124418964613512,0.23749999999999996,0.23858443629633416,0.2375,0.1021470889344272,0.2375,0.1021470889344272,0.23624579124579123,0.11709026801542369,0.2375,0.1021470889344272,0.22513585180251847,0.1014476981109972
6class,logistic_regression,within_subject_5fold,30,0.24027777777777778,0.24027777777777773,0.24404861341360337,0.24027777777777773,0.24152063440200855,0.24027777777777778,0.11470742438864429,0.24027777777777778,0.11470742438864429,0.24945165945165945,0.1301802105636347,0.24027777777777778,0.11470742438864429,0.23033589866923204,0.1096223046256073
6class,knn,within_subject_5fold,30,0.20416666666666666,0.2041666666666667,0.2103794688196812,0.2041666666666667,0.20597465981485855,0.20416666666666666,0.06118997436641858,0.20416666666666666,0.06118997436641858,0.222219400969401,0.08176920900336387,0.20416666666666666,0.06118997436641858,0.19518806629100746,0.06053687569253202
6class,random_forest,within_subject_5fold,30,0.22083333333333333,0.22083333333333333,0.22170808279370954,0.22083333333333333,0.22043218830301983,0.22083333333333333,0.09201323375028826,0.22083333333333333,0.09201323375028826,0.22016975308641978,0.11345966647054254,0.22083333333333333,0.09201323375028826,0.2078818403818404,0.0918003541191903
