task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,loso,6,0.5166666666666667,0.5166666666666667,0.5177777777777778,0.5166666666666667,0.508994708994709,0.5166666666666666,0.05892556509887896,0.5166666666666666,0.05892556509887896,0.5594467261133927,0.11106600632143065,0.5166666666666666,0.05892556509887896,0.46276516163136244,0.07289448446446625
2class,svm,loso,6,0.5416666666666666,0.5416666666666666,0.5481386392811296,0.5416666666666666,0.5257257832710549,0.5416666666666666,0.06400954789890509,0.5416666666666666,0.06400954789890509,0.5770675373337201,0.10559342973329176,0.5416666666666666,0.06400954789890509,0.502531888930815,0.08439054040938779
2class,logistic_regression,loso,6,0.5208333333333334,0.5208333333333334,0.5223230895155889,0.5208333333333334,0.512703261003902,0.5208333333333334,0.03930825471690251,0.5208333333333333,0.03930825471690251,0.573533519208381,0.10344831117430862,0.5208333333333333,0.03930825471690251,0.46493715795289425,0.05893877655455935
2class,knn,loso,6,0.525,0.525,0.5277863538129053,0.525,0.5127858109551963,0.525,0.03818813079129866,0.5249999999999999,0.03818813079129866,0.529333064999217,0.04593823121219158,0.5249999999999999,0.03818813079129866,0.5076184529715061,0.04218235225637498
2class,random_forest,loso,6,0.5625,0.5625,0.5626086956521739,0.5625,0.5623100303951367,0.5625,0.07465197027987049,0.5625,0.07465197027987049,0.549426194838599,0.1582352282777175,0.5625,0.07465197027987049,0.5202691588194566,0.10971801656665801
4class,lda,loso,6,0.27291666666666664,0.2729166666666667,0.28756115997479187,0.2729166666666667,0.27092099067360975,0.27291666666666664,0.018281175807066917,0.2729166666666667,0.018281175807066938,0.2665562674514081,0.0713555450290021,0.2729166666666667,0.018281175807066938,0.22695127962322822,0.036261052770520205
4class,svm,loso,6,0.2875,0.2875,0.30215244120451296,0.2875,0.2731438597388256,0.28750000000000003,0.03227486121839514,0.28750000000000003,0.03227486121839516,0.3628410674283482,0.08445828418628278,0.28750000000000003,0.03227486121839516,0.23851838728669886,0.06466814666078945
4class,logistic_regression,loso,6,0.2520833333333333,0.2520833333333333,0.2640948468797792,0.2520833333333333,0.24836089431677666,0.25208333333333327,0.03339837404558625,0.2520833333333334,0.033398374045586245,0.2571712648016539,0.08444948344380979,0.2520833333333334,0.033398374045586245,0.20844222899340195,0.03484988887813778
4class,knn,loso,6,0.2875,0.28750000000000003,0.2913184565164648,0.28750000000000003,0.28415292418222404,0.28750000000000003,0.029755951785595217,0.28750000000000003,0.02975595178559522,0.28936107859288973,0.03894212613920881,0.28750000000000003,0.02975595178559522,0.26393796332055514,0.03774294976502813
4class,random_forest,loso,6,0.2375,0.23750000000000004,0.24097813160631804,0.23750000000000004,0.23551058860730434,0.23749999999999996,0.04621056877670591,0.23749999999999996,0.04621056877670592,0.23711612016442318,0.06956131069597994,0.23749999999999996,0.04621056877670592,0.20847299061586455,0.05859908769697364
6class,lda,loso,6,0.19722222222222222,0.19722222222222222,0.19905640861523213,0.19722222222222222,0.1960019487593017,0.19722222222222222,0.016433554953054496,0.19722222222222222,0.01643355495305449,0.19178300273552548,0.0759189519068553,0.19722222222222222,0.01643355495305449,0.16447287586894957,0.028965322689755917
6class,svm,loso,6,0.19444444444444445,0.19444444444444442,0.19511072523629647,0.19444444444444442,0.1919524181706196,0.19444444444444445,0.026643508462848447,0.19444444444444442,0.026643508462848436,0.20358317471242915,0.11121318941769148,0.19444444444444442,0.026643508462848436,0.15957760068314158,0.045718065749602646
6class,logistic_regression,loso,6,0.18055555555555555,0.18055555555555555,0.1875825219344781,0.18055555555555555,0.1801160705973425,0.18055555555555555,0.033564016593318265,0.18055555555555555,0.03356401659331827,0.1863544850896922,0.04295525840570629,0.18055555555555555,0.03356401659331827,0.1542101118035411,0.024859499517656505
6class,knn,loso,6,0.16666666666666666,0.16666666666666666,0.1659718690262785,0.16666666666666666,0.1656241081500949,0.16666666666666666,0.031180478223116183,0.1666666666666667,0.031180478223116176,0.15117660724833992,0.032102799887884115,0.1666666666666667,0.031180478223116176,0.14921307895331407,0.027617267693193365
6class,random_forest,loso,6,0.18194444444444444,0.18194444444444446,0.1791269432774342,0.18194444444444446,0.1753654335524639,0.18194444444444444,0.026094853094522138,0.18194444444444444,0.026094853094522138,0.16347958450819364,0.05702758363433851,0.18194444444444444,0.026094853094522138,0.14304769702125247,0.03761910359144148
