task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,lda,loso,2,2,,200,40,0.4,0.39999999999999997,0.34375,0.39999999999999997,0.34065934065934067
2class,lda,loso,3,3,,200,40,0.45,0.45,0.45,0.45,0.45
2class,lda,loso,4,4,,200,40,0.525,0.525,0.525062656641604,0.525,0.5247029393370857
2class,lda,loso,5,5,,200,40,0.5,0.5,0.5,0.5,0.5
2class,lda,loso,6,6,,200,40,0.375,0.375,0.21428571428571427,0.375,0.2727272727272727
2class,svm,loso,1,1,,200,40,0.475,0.47500000000000003,0.40990990990990994,0.47500000000000003,0.3592677345537757
2class,svm,loso,2,2,,200,40,0.425,0.425,0.42327365728900257,0.425,0.42174732872407295
2class,svm,loso,3,3,,200,40,0.525,0.525,0.5432900432900433,0.525,0.4689028651292802
2class,svm,loso,4,4,,200,40,0.45,0.45,0.3611111111111111,0.45,0.34523809523809523
2class,svm,loso,5,5,,200,40,0.55,0.55,0.5520833333333333,0.55,0.5454545454545454
2class,svm,loso,6,6,,200,40,0.475,0.47500000000000003,0.40990990990990994,0.47500000000000003,0.3592677345537757
2class,logistic_regression,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,logistic_regression,loso,2,2,,200,40,0.475,0.475,0.44285714285714284,0.475,0.3890909090909091
2class,logistic_regression,loso,3,3,,200,40,0.55,0.55,0.55,0.55,0.55
2class,logistic_regression,loso,4,4,,200,40,0.55,0.55,0.55,0.55,0.55
2class,logistic_regression,loso,5,5,,200,40,0.475,0.475,0.474937343358396,0.475,0.474671669793621
2class,logistic_regression,loso,6,6,,200,40,0.4,0.4,0.30392156862745096,0.4,0.3162393162393162
2class,knn,loso,1,1,,200,40,0.45,0.45,0.4019607843137255,0.45,0.3732193732193732
2class,knn,loso,2,2,,200,40,0.55,0.55,0.5595238095238095,0.55,0.53125
2class,knn,loso,3,3,,200,40,0.425,0.425,0.42327365728900257,0.425,0.42174732872407295
2class,knn,loso,4,4,,200,40,0.425,0.42500000000000004,0.424812030075188,0.42500000000000004,0.42464040025015637
2class,knn,loso,5,5,,200,40,0.5,0.5,0.5,0.5,0.4791666666666667
2class,knn,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,random_forest,loso,1,1,,200,40,0.475,0.47500000000000003,0.40990990990990994,0.47500000000000003,0.3592677345537757
2class,random_forest,loso,2,2,,200,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,random_forest,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.4791666666666667
2class,random_forest,loso,4,4,,200,40,0.5,0.5,0.5,0.5,0.4666666666666667
2class,random_forest,loso,5,5,,200,40,0.45,0.45,0.4494949494949495,0.45,0.44862155388471175
2class,random_forest,loso,6,6,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
4class,lda,loso,1,1,,400,80,0.225,0.22500000000000003,0.1685344827586207,0.22500000000000003,0.15888888888888889
4class,lda,loso,2,2,,400,80,0.25,0.25,0.46782397169394074,0.25,0.2217661010764459
4class,lda,loso,3,3,,400,80,0.25,0.25,0.2600244583003204,0.25,0.2456042725645658
4class,lda,loso,4,4,,400,80,0.275,0.275,0.23093487394957984,0.275,0.22747715247715244
